run_dir,method,method_display_name,num_qubits,h,j,ansatz,reps,entanglement,iterations,learning_rate,shots,seed,final_energy,best_energy,final_absolute_error,best_absolute_error,final_relative_error,best_relative_error,best_step,exact_ground_energy,nominal_total_quantum_evals,elapsed_s,git_commit,started_utc,finished_utc
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnbda_fd__ansatz-RealAmplitudes__n-10__h-2p0__seed-0,qnbda_fd,QN-BDA+FD,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-20.627742122519393,-20.627742122519393,0.6434666961765103,0.6434666961765103,0.03025059373263959,0.03025059373263959,500,-21.271208818695904,31500,139.81075382232666,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:06:02.586050+00:00,2026-06-01T00:08:22.396893+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnbda_fd__ansatz-RealAmplitudes__n-11__h-2p0__seed-0,qnbda_fd,QN-BDA+FD,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-22.49979244848751,-22.49979244848751,0.8983366168358842,0.8983366168358842,0.03839352344488266,0.03839352344488266,500,-23.398129065323396,34500,173.8286349773407,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:06:06.599263+00:00,2026-06-01T00:09:00.428036+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnbda_fd__ansatz-RealAmplitudes__n-12__h-2p0__seed-0,qnbda_fd,QN-BDA+FD,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-24.59823471663891,-24.59823471663891,0.9269035854091108,0.9269035854091108,0.03631336192739611,0.03631336192739611,500,-25.52513830204802,37500,211.4988923072815,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:06:17.021002+00:00,2026-06-01T00:09:48.519955+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnbda_fd__ansatz-RealAmplitudes__n-6__h-2p0__seed-0,qnbda_fd,QN-BDA+FD,6,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-12.603776715811609,-12.603776715811609,0.16561241139572047,0.16561241139572047,0.012969485834123058,0.012969485834123058,500,-12.76938912720733,19500,66.63021421432495,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:06:01.624478+00:00,2026-06-01T00:07:08.254754+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnbda_fd__ansatz-RealAmplitudes__n-7__h-2p0__seed-0,qnbda_fd,QN-BDA+FD,7,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-14.743535240325341,-14.743535240325341,0.14922405937912764,0.14922405937912764,0.010019906746366929,0.010019906746366929,500,-14.892759299704469,22500,78.00522899627686,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:06:01.554082+00:00,2026-06-01T00:07:19.559358+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnbda_fd__ansatz-RealAmplitudes__n-8__h-2p0__seed-0,qnbda_fd,QN-BDA+FD,8,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-16.857470533837393,-16.857470533837393,0.16069393644314545,0.16069393644314545,0.009442495207034303,0.009442495207034303,500,-17.01816447028054,25500,93.19739890098572,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:06:01.650245+00:00,2026-06-01T00:07:34.847697+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnbda_fd__ansatz-RealAmplitudes__n-9__h-2p0__seed-0,qnbda_fd,QN-BDA+FD,9,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-18.75560252681935,-18.75560252681935,0.3888770450600987,0.3888770450600987,0.02031275092122663,0.02031275092122663,500,-19.144479571879447,28500,114.31851291656494,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:06:01.645235+00:00,2026-06-01T00:07:55.963800+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-10__h-2p0__seed-0,qnspsa_fd,QN-SPSA+FD,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-21.11618270418625,-21.11618270418625,0.15502611450965276,0.15502611450965276,0.007288072616418285,0.007288072616418285,500,-21.271208818695904,32000,211.8489043712616,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:11:54.415009+00:00,2026-06-01T00:15:26.263958+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-10__h-2p0__seed-1,qnspsa_fd,QN-SPSA+FD,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,1,-21.114828502188722,-21.114828502188722,0.15638031650718176,0.15638031650718176,0.007351736229007089,0.007351736229007089,500,-21.271208818695904,32000,202.02885603904724,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:11:55.912956+00:00,2026-06-01T00:15:17.941873+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-10__h-2p0__seed-2,qnspsa_fd,QN-SPSA+FD,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,2,-20.364671495809127,-20.364671495809127,0.906537322886777,0.906537322886777,0.04261804444747842,0.04261804444747842,500,-21.271208818695904,32000,204.06357765197754,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:12:15.525169+00:00,2026-06-01T00:15:39.588801+00:00
