run_dir,method,method_display_name,num_qubits,h,j,ansatz,reps,entanglement,iterations,learning_rate,shots,seed,final_energy,best_energy,final_absolute_error,best_absolute_error,final_relative_error,best_relative_error,best_step,exact_ground_energy,nominal_total_quantum_evals,elapsed_s,git_commit,started_utc,finished_utc
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-cobyla__ansatz-RealAmplitudes__n-10__h-2p0__seed-0,cobyla,COBYLA,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-21.07501612264517,-21.07608856484902,0.19619269605073342,0.19512025384688414,0.009223391943681818,0.009172974395107582,495,-21.271208818695904,500,18.200194120407104,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:20:40.962821+00:00,2026-05-31T20:20:59.163141+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-cobyla__ansatz-RealAmplitudes__n-11__h-2p0__seed-0,cobyla,COBYLA,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-23.202834522350088,-23.202834522350088,0.19529454297330773,0.19529454297330773,0.008346587986931787,0.008346587986931787,499,-23.398129065323396,500,9.197040319442749,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:21:06.076938+00:00,2026-05-31T20:21:15.274035+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-cobyla__ansatz-RealAmplitudes__n-12__h-2p0__seed-0,cobyla,COBYLA,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-25.366028235557753,-25.366028235557753,0.1591100664902676,0.1591100664902676,0.006233465402124827,0.006233465402124827,499,-25.52513830204802,500,9.260473728179932,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:21:11.316061+00:00,2026-05-31T20:21:20.576566+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-cobyla__ansatz-RealAmplitudes__n-6__h-2p0__seed-0,cobyla,COBYLA,6,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-12.63250662034605,-12.632514995451071,0.13688250686128,0.13687413175625807,0.010719581453558245,0.010718925579973495,497,-12.76938912720733,500,17.121557235717773,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:20:08.222182+00:00,2026-05-31T20:20:25.343796+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-cobyla__ansatz-RealAmplitudes__n-7__h-2p0__seed-0,cobyla,COBYLA,7,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-14.742799553883684,-14.74321070454102,0.14995974582078553,0.14954859516344854,0.010069305680899665,0.010041698261141988,494,-14.892759299704469,500,14.778245449066162,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:20:14.040595+00:00,2026-05-31T20:20:28.818926+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-cobyla__ansatz-RealAmplitudes__n-8__h-2p0__seed-0,cobyla,COBYLA,8,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-16.86051871970937,-16.86051871970937,0.15764575057117014,0.15764575057117014,0.009263381538383464,0.009263381538383464,499,-17.01816447028054,500,15.363132238388062,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:20:25.757894+00:00,2026-05-31T20:20:41.121077+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-cobyla__ansatz-RealAmplitudes__n-9__h-2p0__seed-0,cobyla,COBYLA,9,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-18.866539956974837,-18.866969526242375,0.2779396149046107,0.27751004563707227,0.014518003159138627,0.014495564875249759,496,-19.144479571879447,500,14.80621600151062,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:20:30.146605+00:00,2026-05-31T20:20:44.952866+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-fd__ansatz-RealAmplitudes__n-10__h-2p0__seed-0,fd,FD,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-21.100419431314446,-21.100419431314446,0.17078938738145766,0.17078938738145766,0.008029134067422897,0.008029134067422897,500,-21.271208818695904,30000,57.31545400619507,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:17:28.552469+00:00,2026-05-31T20:18:25.867990+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-fd__ansatz-RealAmplitudes__n-11__h-2p0__seed-0,fd,FD,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-23.223637164309736,-23.223637164309736,0.17449190101365986,0.17449190101365986,0.007457515108430663,0.007457515108430663,500,-23.398129065323396,33000,65.69751501083374,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:17:34.483205+00:00,2026-05-31T20:18:40.181015+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-fd__ansatz-RealAmplitudes__n-12__h-2p0__seed-0,fd,FD,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-25.34682114498447,-25.34682114498447,0.17831715706354956,0.17831715706354956,0.006985942836174259,0.006985942836174259,500,-25.52513830204802,36000,69.36277389526367,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:17:46.337239+00:00,2026-05-31T20:18:55.700072+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-fd__ansatz-RealAmplitudes__n-6__h-2p0__seed-0,fd,FD,6,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-12.609095898876127,-12.609095898876127,0.1602932283312022,0.1602932283312022,0.012552928470921959,0.012552928470921959,500,-12.76938912720733,18000,37.09596586227417,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:16:49.463837+00:00,2026-05-31T20:17:26.559886+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-fd__ansatz-RealAmplitudes__n-7__h-2p0__seed-0,fd,FD,7,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-14.731790325872986,-14.731790325872986,0.16096897383148345,0.16096897383148345,0.01080853927684695,0.01080853927684695,500,-14.892759299704469,21000,40.486655473709106,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:16:49.462012+00:00,2026-05-31T20:17:29.948799+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-fd__ansatz-RealAmplitudes__n-8__h-2p0__seed-0,fd,FD,8,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-16.853985104832166,-16.853985104832166,0.16417936544837275,0.16417936544837275,0.009647301607355208,0.009647301607355208,500,-17.01816447028054,24000,46.369433641433716,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:16:49.471377+00:00,2026-05-31T20:17:35.840906+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-fd__ansatz-RealAmplitudes__n-9__h-2p0__seed-0,fd,FD,9,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-18.97710727099751,-18.97710727099751,0.16737230088193655,0.16737230088193655,0.00874258818337287,0.00874258818337287,500,-19.144479571879447,27000,50.17414665222168,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:17:28.107180+00:00,2026-05-31T20:18:18.281414+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-psr__ansatz-RealAmplitudes__n-10__h-2p0__seed-0,psr,PSR,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-21.10042143934276,-21.10042143934276,0.17078737935314336,0.17078737935314336,0.0080290396661911,0.0080290396661911,500,-21.271208818695904,30000,62.473008155822754,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:16:49.748168+00:00,2026-05-31T20:17:52.221241+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-psr__ansatz-RealAmplitudes__n-11__h-2p0__seed-0,psr,PSR,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-23.22363949458195,-23.22363949458195,0.17448957074144644,0.17448957074144644,0.007457415516185193,0.007457415516185193,500,-23.398129065323396,33000,74.4430205821991,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:16:53.734151+00:00,2026-05-31T20:18:08.177258+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-psr__ansatz-RealAmplitudes__n-12__h-2p0__seed-0,psr,PSR,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-25.346823798889982,-25.346823798889982,0.1783145031580382,0.1783145031580382,0.006985838863945786,0.006985838863945786,500,-25.52513830204802,36000,81.42935299873352,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:17:03.071221+00:00,2026-05-31T20:18:24.500632+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-psr__ansatz-RealAmplitudes__n-6__h-2p0__seed-0,psr,PSR,6,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-12.609096664278425,-12.609096664278425,0.1602924629289042,0.1602924629289042,0.012552868530521493,0.012552868530521493,500,-12.76938912720733,18000,37.28921294212341,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:16:49.394163+00:00,2026-05-31T20:17:26.683475+00:00
results/revision/revision_full_20260531_cluster/revision_full_20260531_cluster__method-psr__ansatz-RealAmplitudes__n-7__h-2p0__seed-0,psr,PSR,7,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-14.731791390664917,-14.731791390664917,0.16096790903955238,0.16096790903955238,0.010808467779556916,0.010808467779556916,500,-14.892759299704469,21000,41.099746227264404,d3d222a82014fe40647be5fff9b3f0c31e272823,2026-05-31T20:16:49.419238+00:00,2026-05-31T20:17:30.519046+00:00
