method,method_display_name,num_qubits,h,ansatz,reps,entanglement,runs,final_relative_error_mean,final_relative_error_std,best_relative_error_mean,best_relative_error_std,best_step_mean,nominal_total_quantum_evals_mean,final_energy_mean,best_energy_mean
cobyla,COBYLA,6,2.0,RealAmplitudes,2,reverse_linear,1,0.010719581453558245,0.0,0.010718925579973495,0.0,497.0,500.0,-12.63250662034605,-12.632514995451071
cobyla,COBYLA,7,2.0,RealAmplitudes,2,reverse_linear,1,0.010069305680899665,0.0,0.010041698261141988,0.0,494.0,500.0,-14.742799553883684,-14.74321070454102
cobyla,COBYLA,8,2.0,RealAmplitudes,2,reverse_linear,1,0.009263381538383464,0.0,0.009263381538383464,0.0,499.0,500.0,-16.86051871970937,-16.86051871970937
cobyla,COBYLA,9,2.0,RealAmplitudes,2,reverse_linear,1,0.014518003159138627,0.0,0.014495564875249759,0.0,496.0,500.0,-18.866539956974837,-18.866969526242375
cobyla,COBYLA,10,2.0,RealAmplitudes,2,reverse_linear,1,0.009223391943681818,0.0,0.009172974395107582,0.0,495.0,500.0,-21.07501612264517,-21.07608856484902
cobyla,COBYLA,11,2.0,RealAmplitudes,2,reverse_linear,1,0.008346587986931787,0.0,0.008346587986931787,0.0,499.0,500.0,-23.202834522350088,-23.202834522350088
cobyla,COBYLA,12,2.0,RealAmplitudes,2,reverse_linear,1,0.006233465402124827,0.0,0.006233465402124827,0.0,499.0,500.0,-25.366028235557753,-25.366028235557753
fd,FD,6,2.0,RealAmplitudes,2,reverse_linear,1,0.012552928470921959,0.0,0.012552928470921959,0.0,500.0,18000.0,-12.609095898876127,-12.609095898876127
fd,FD,7,2.0,RealAmplitudes,2,reverse_linear,1,0.01080853927684695,0.0,0.01080853927684695,0.0,500.0,21000.0,-14.731790325872986,-14.731790325872986
fd,FD,8,2.0,RealAmplitudes,2,reverse_linear,1,0.009647301607355208,0.0,0.009647301607355208,0.0,500.0,24000.0,-16.853985104832166,-16.853985104832166
fd,FD,9,2.0,RealAmplitudes,2,reverse_linear,1,0.00874258818337287,0.0,0.00874258818337287,0.0,500.0,27000.0,-18.97710727099751,-18.97710727099751
fd,FD,10,2.0,RealAmplitudes,2,reverse_linear,1,0.008029134067422897,0.0,0.008029134067422897,0.0,500.0,30000.0,-21.100419431314446,-21.100419431314446
fd,FD,11,2.0,RealAmplitudes,2,reverse_linear,1,0.007457515108430663,0.0,0.007457515108430663,0.0,500.0,33000.0,-23.223637164309736,-23.223637164309736
fd,FD,12,2.0,RealAmplitudes,2,reverse_linear,1,0.006985942836174259,0.0,0.006985942836174259,0.0,500.0,36000.0,-25.34682114498447,-25.34682114498447
psr,PSR,6,2.0,RealAmplitudes,2,reverse_linear,1,0.012552868530521493,0.0,0.012552868530521493,0.0,500.0,18000.0,-12.609096664278425,-12.609096664278425
